x,y,yaw,speed
9.7000,4.8837,1.5708,3.50
9.7000,4.9851,1.5708,3.50
9.7000,5.0864,1.5708,3.50
9.7000,5.1878,1.5708,3.50
9.7000,5.2891,1.5708,3.50
9.7000,5.3904,1.5708,3.50
9.7000,5.4918,1.5708,3.50
9.7000,5.5931,1.5708,3.50
9.7000,5.6945,1.5708,3.50
9.7000,5.7958,1.5708,3.50
9.7000,5.8972,1.5708,3.50
9.7000,5.9985,1.5708,3.50
9.7000,6.0999,1.5708,3.50
9.7000,6.2012,1.5708,3.50
9.7000,6.3025,1.5708,3.50
9.7000,6.4039,1.5708,3.50
9.7000,6.5052,1.5708,3.50
9.7000,6.6066,1.5708,3.50
9.7000,6.7079,1.5708,3.50
9.7000,6.8093,1.5708,3.50
9.7000,6.9106,1.5708,3.50
9.7000,7.0119,1.5708,3.50
9.7000,7.1133,1.5708,3.50
9.7000,7.2146,1.5708,3.50
9.7000,7.3160,1.5708,3.50
9.7000,7.4173,1.5708,3.50
9.7000,7.5187,1.5708,3.50
9.7000,7.6200,1.6232,1.80
9.6945,7.7245,1.7279,1.80
9.6781,7.8279,1.8326,1.80
9.6511,7.9290,1.9373,1.80
9.6135,8.0267,2.0420,1.80
9.5660,8.1200,2.1468,1.80
9.5090,8.2078,2.2515,1.80
9.4431,8.2891,2.3562,1.80
9.3691,8.3631,2.4609,1.80
9.2878,8.4290,2.5656,1.80
9.2000,8.4860,2.6704,1.80
9.1067,8.5335,2.7751,1.80
9.0090,8.5711,2.8798,1.80
8.9079,8.5981,2.9845,1.80
8.8045,8.6145,3.0892,1.80
8.7000,8.6200,3.1416,3.50
8.5995,8.6200,3.1416,3.50
8.4991,8.6200,3.1416,3.50
8.3986,8.6200,3.1416,3.50
8.2981,8.6200,3.1416,3.50
8.1977,8.6200,3.1416,3.50
8.0972,8.6200,3.1416,3.50
7.9967,8.6200,3.1416,3.50
7.8962,8.6200,3.1416,3.50
7.7958,8.6200,3.1416,3.50
7.6953,8.6200,3.1416,3.50
7.5948,8.6200,3.1416,3.50
